year,region,season,ITRF
1993,GR,FA,ITRF93
1994,GR,FA,ITRF93
1995,GR,FA,ITRF93
1996,GR,FA,ITRF93
1997,GR,FA,ITRF94
1998,GR,FA,ITRF96
1999,GR,FA,ITRF96
2000,GR,FA,ITRF97
2001,GR,FA,ITRF97
2001,AN,FA,ITRF2000
2002,GR,FA,ITRF2000
2002,AN,FA,ITRF2000
2003,GR,FA,ITRF2000
2003,AN,FA,ITRF2000
2004,AN,FA,ITRF2000
2005,GR,FA,ITRF2000
2006,GR,FA,ITRF2000
2007,GR,SP,ITRF2000
2007,GR,FA,ITRF2005
2008,GR,FA,ITRF2005
2008,AN,FA,ITRF2005
2009,GR,FA,ITRF2005
2009,AN,FA,ITRF2005
2010,GR,FA,ITRF2005
2010,AN,FA,ITRF2005
2011,GR,FA,ITRF2005
2011,AN,FA,ITRF2008
2012,GR,FA,ITRF2008
2012,AN,FA,ITRF2008
2013,GR,FA,ITRF2008
2013,AN,FA,ITRF2008
2014,GR,FA,ITRF2008
2014,AN,FA,ITRF2008
2015,GR,SP,ITRF2008
2015,GR,FA,ITRF2008
2016,GR,SP,ITRF2008
2016,GR,FA,ITRF2008
2016,AN,FA,ITRF2008
2017,GR,SP,ITRF2008
2017,GR,FA,ITRF2008
2017,AN,FA,ITRF2008
2018,GR,FA,ITRF2008
2018,AN,FA,ITRF2008
2019,GR,SP,ITRF2008
2019,GR,FA,ITRF2008
2019,AN,FA,ITRF2008
